student_id,student_name,email,country,country_code,state,state_code
1001,Charley Smith,csmith1001@metaversity.edu,United States,US,Washington,WA
1002,Paul Johnson,pjohnson1002@metaversity.edu,United States,US,Delaware,DE
1003,Edgar Williams,ewilliams1003@metaversity.edu,United States,US,Wisconsin,WI
1004,Isaac Brown,ibrown1004@metaversity.edu,United States,US,Georgia,GA
1005,Otto Jones,ojones1005@metaversity.edu,United States,US,Colorado,CO
1006,Luther Garcia,lgarcia1006@metaversity.edu,United States,US,Nebraska,NE
1007,Lawrence Miller,lmiller1007@metaversity.edu,United States,US,Indiana,IN
1008,Ira Davis,idavis1008@metaversity.edu,United States,US,Mississippi,MS
1009,Patrick Rodriguez,prodriguez1009@metaversity.edu,United States,US,Massachusetts,MA
1010,Guy Martinez,gmartinez1010@metaversity.edu,United States,US,Maine,ME
1011,Oliver Hernandez,ohernandez1011@metaversity.edu,United States,US,Alabama,AL
1012,Theodore Lopez,tlopez1012@metaversity.edu,United States,US,Kentucky,KY
1013,Hugh Gonzalez,hgonzalez1013@metaversity.edu,United States,US,Alaska,AK
1014,Clyde Wilson,cwilson1014@metaversity.edu,United States,US,Pennsylvania,PA
1015,Alexander Anderson,aanderson1015@metaversity.edu,United States,US,Louisiana,LA
1016,August Thomas,athomas1016@metaversity.edu,United States,US,Vermont,VT
1017,Floyd Taylor,ftaylor1017@metaversity.edu,United States,US,West Virginia,WV
1018,Homer Moore,hmoore1018@metaversity.edu,United States,US,Pennsylvania,PA
1019,Jack Jackson,jjackson1019@metaversity.edu,United States,US,North Carolina,NC
1020,Leonard Martin,lmartin1020@metaversity.edu,United States,US,Oregon,OR
1021,Horace Lee,hlee1021@metaversity.edu,United States,US,Kansas,KS
1022,Marion Perez,mperez1022@metaversity.edu,United States,US,Wisconsin,WI
1023,Philip Thompson,pthompson1023@metaversity.edu,United States,US,Maine,ME
1024,Allen White,awhite1024@metaversity.edu,United States,US,Ohio,OH
1025,Archie Harris,aharris1025@metaversity.edu,United States,US,New Hampshire,NH
1026,Stephen Sanchez,ssanchez1026@metaversity.edu,United States,US,Hawaii,HI
1027,Chester Clark,cclark1027@metaversity.edu,United States,US,Wisconsin,WI
1028,Willis Ramirez,wramirez1028@metaversity.edu,United States,US,Vermont,VT
1029,Raymond Lewis,rlewis1029@metaversity.edu,United States,US,Illinois,IL
1030,Rufus Robinson,rrobinson1030@metaversity.edu,United States,US,Ohio,OH
1031,Warren Walker,wwalker1031@metaversity.edu,United States,US,New York,NY
1032,Jessie Young,jyoung1032@metaversity.edu,United States,US,Nevada,NV
1033,Milton Allen,mallen1033@metaversity.edu,United States,US,North Carolina,NC
1034,Alex King,aking1034@metaversity.edu,United States,US,Vermont,VT
1035,Leo Wright,lwright1035@metaversity.edu,United States,US,Louisiana,LA
1036,Julius Scott,jscott1036@metaversity.edu,United States,US,District of Columbia,DC
1037,Ray Torres,rtorres1037@metaversity.edu,United States,US,Ohio,OH
1038,Sidney Nguyen,snguyen1038@metaversity.edu,United States,US,Ohio,OH
1039,Bernard Hill,bhill1039@metaversity.edu,United States,US,Illinois,IL
1040,Dan Flores,dflores1040@metaversity.edu,United States,US,Rhode Island,RI
1041,Jerry Green,jgreen1041@metaversity.edu,United States,US,Delaware,DE
1042,Calvin Adams,cadams1042@metaversity.edu,United States,US,Delaware,DE
1043,Perry Nelson,pnelson1043@metaversity.edu,United States,US,Nevada,NV
1044,Dave Baker,dbaker1044@metaversity.edu,United States,US,Indiana,IN
1045,Anthony Hall,ahall1045@metaversity.edu,United States,US,Kentucky,KY
1046,Eddie Rivera,erivera1046@metaversity.edu,United States,US,New Hampshire,NH
1047,Amos Campbell,acampbell1047@metaversity.edu,United States,US,Georgia,GA
1048,Dennis Mitchell,dmitchell1048@metaversity.edu,United States,US,Oregon,OR
1049,Clifford Carter,ccarter1049@metaversity.edu,United States,US,New Hampshire,NH
1050,Leroy Roberts,lroberts1050@metaversity.edu,United States,US,California,CA
1051,Wesley Gomez,wgomez1051@metaversity.edu,United States,US,Utah,UT
1052,Alonzo Phillips,aphillips1052@metaversity.edu,United States,US,Iowa,IA
1053,Garfield Evans,gevans1053@metaversity.edu,United States,US,New Mexico,NM
1054,Franklin Turner,fturner1054@metaversity.edu,United States,US,Wisconsin,WI
1055,Emil Diaz,ediaz1055@metaversity.edu,United States,US,New York,NY
1056,Leon Parker,lparker1056@metaversity.edu,United States,US,Louisiana,LA
1057,Nathan Cruz,ncruz1057@metaversity.edu,United States,US,Kentucky,KY
1058,Harold Edwards,hedwards1058@metaversity.edu,United States,US,New York,NY
1059,Matthew Collins,mcollins1059@metaversity.edu,United States,US,North Dakota,ND
1060,Levi Reyes,lreyes1060@metaversity.edu,United Kingdom,GB,,
1061,Moses Stewart,mstewart1061@metaversity.edu,United Kingdom,GB,,
1062,Everett Morris,emorris1062@metaversity.edu,United Kingdom,GB,,
1063,Lester Morales,lmorales1063@metaversity.edu,United Kingdom,GB,,
1064,Winfield Murphy,wmurphy1064@metaversity.edu,United Kingdom,GB,,
1065,Adam Cook,acook1065@metaversity.edu,United Kingdom,GB,,
1066,Lloyd Rogers,lrogers1066@metaversity.edu,United Kingdom,GB,,
1067,Mack Gutierrez,mgutierrez1067@metaversity.edu,United Kingdom,GB,,
1068,Fredrick Ortiz,fortiz1068@metaversity.edu,United Kingdom,GB,,
1069,Jay Morgan,jmorgan1069@metaversity.edu,United Kingdom,GB,,
1070,Jess Cooper,jcooper1070@metaversity.edu,United Kingdom,GB,,
1071,Melvin Peterson,mpeterson1071@metaversity.edu,United Kingdom,GB,,
1072,Noah Bailey,nbailey1072@metaversity.edu,United Kingdom,GB,,
1073,Aaron Reed,areed1073@metaversity.edu,United Kingdom,GB,,
1074,Alvin Kelly,akelly1074@metaversity.edu,United Kingdom,GB,,
1075,Norman Howard,nhoward1075@metaversity.edu,United Kingdom,GB,,
1076,Gilbert Ramos,gramos1076@metaversity.edu,United Kingdom,GB,,
1077,Elijah Kim,ekim1077@metaversity.edu,United Kingdom,GB,,
1078,Victor Cox,vcox1078@metaversity.edu,United Kingdom,GB,,
